1024 215279
0 183 381
0 77 538
0 343 801
0 683 837
0 20 383
0 578 976
0 274 771
0 38 670
0 276 546
0 102 324
0 292 875
0 103 414
0 411 561
0 485 771
0 509 816
0 562 801
0 804 864
0 320 444
0 24 227
0 80 436
0 275 732
0 534 861
0 370 427
0 8 336
0 605 677
0 785 877
0 129 736
0 161 770
0 397 720
0 38 579
0 174 629
0 626 1004
0 117 499
0 519 910
0 336 628
0 67 831
0 408 411
0 204 981
0 471 749
0 282 549
0 415 444
0 783 816
0 17 55
0 658 782
0 190 751
0 310 687
0 735 999
0 324 1010
0 593 656
0 535 891
1 547 635
0 140 708
0 193 261
0 863 913
0 52 709
0 469 760
0 230 757
0 51 629
0 563 955
0 205 322
0 121 821
0 485 646
0 556 559
0 210 476
0 108 696
0 199 734
0 102 429
0 30 70
0 85 333
0 31 203
0 443 874
0 320 402
0 294 496
0 172 333
0 600 612
0 44 686
0 177 896
0 202 982
0 484 958
0 223 275
0 298 743
0 374 688
0 457 618
0 543 837
0 260 429
0 200 606
0 64 335
0 30 744
0 24 481
0 32 266
0 360 553
0 287 478
0 400 503
0 370 418
0 511 519
0 866 1002
0 199 204
0 460 959
0 209 723
0 440 771
0 530 653
0 274 999
0 729 795
0 37 179
0 316 750
0 400 1021
0 656 957
0 5 415
0 876 930
0 701 727
0 221 407
0 726 753
0 320 342
0 143 955
0 268 967
0 222 297
0 594 979
0 201 529
1 735 742
0 357 920
0 401 541
0 52 85
0 322 986
0 864 971
0 22 569
0 165 627
0 687 800
0 117 815
0 45 898
0 332 730
0 508 987
0 469 485
0 89 687
0 193 616
0 350 685
0 6 730
0 121 927
0 515 974
0 377 406
0 735 780
0 244 593
0 93 254
0 211 919
0 163 854
0 191 962
0 68 305
0 19 908
0 461 969
0 64 683
0 450 556
0 113 945
0 458 899
0 86 146
0 129 206
0 560 1017
0 551 583
0 53 772
0 95 598
0 154 803
0 136 550
0 119 634
0 899 921
0 89 584
0 816 886
0 620 702
0 300 636
0 128 982
0 527 547
0 168 627
0 99 499
0 701 1018
0 85 452
0 1 342
0 483 507
0 167 978
0 229 266
0 252 588
0 99 483
0 200 366
0 293 996
0 498 722
0 150 801
0 154 880
0 193 209
0 337 349
0 158 472
0 407 525
0 552 949
0 796 888
0 238 541
0 403 612
0 173 887
0 133 810
0 142 959
0 485 554
0 86 97
0 208 889
0 689 691
0 12 460
0 303 310
0 19 794
0 49 799
0 374 800
0 590 1015
0 161 230
0 85 297
0 412 583
0 478 897
0 556 841
0 777 868
0 247 273
0 918 968
0 126 973
0 221 840
0 295 562
0 218 429
0 339 890
0 490 532
0 88 874
0 489 990
0 48 738
0 462 569
0 124 493
0 547 775
0 328 695
0 192 908
1 182 867
0 456 796
0 313 428
0 474 532
0 306 444
0 333 391
0 547 579
0 85 895
0 296 627
0 303 391
0 820 834
0 530 839
0 182 602
0 202 717
0 102 646
0 897 904
0 556 718
0 613 674
0 311 989
0 217 322
0 530 583
0 653 911
0 441 539
0 70 806
0 514 577
0 253 463
0 583 714
0 379 641
0 459 555
0 186 959
0 389 711
0 609 725
0 52 979
0 482 879
0 154 827
0 694 954
0 160 866
0 467 518
0 157 561
0 465 554
0 86 687
0 465 784
0 80 946
0 34 356
0 415 614
0 185 809
0 692 885
0 446 602
0 461 982
0 755 803
0 303 793
0 233 937
0 471 854
0 155 982
0 370 614
0 1 549
0 157 903
0 346 649
0 225 714
0 371 825
0 186 715
0 701 931
0 184 802
0 837 914
0 19 564
0 434 977
0 602 731
0 282 680
0 40 903
0 50 648
0 278 861
0 221 991
0 642 967
0 125 679
0 87 767
0 71 447
0 190 932
0 161 945
0 225 613
0 580 658
0 782 934
0 286 651
0 122 814
0 214 246
0 39 744
0 259 515
0 187 582
0 151 1017
0 355 593
0 635 734
0 101 427
0 328 540
0 55 61
0 376 760
0 456 587
0 86 542
0 345 353
0 319 860
1 274 778
0 490 946
0 111 741
0 417 615
0 480 756
0 263 852
0 127 440
0 445 904
0 341 544
0 125 293
0 810 830
0 601 742
0 653 792
0 127 637
0 13 151
0 19 472
0 551 751
0 484 650
0 507 643
0 115 1015
0 868 1009
0 54 843
1 371 815
0 844 946
0 617 897
0 119 863
0 157 461
0 696 983
0 61 588
0 874 1008
0 429 814
0 31 561
0 49 150
0 286 522
0 114 471
0 341 779
1 455 488
0 377 508
0 508 690
0 667 918
0 369 466
0 585 758
0 502 566
0 5 1018
1 125 679
1 51 629
0 466 665
0 34 550
0 19 716
0 359 903
0 586 678
0 18 694
0 8 370
0 212 386
0 374 681
0 148 212
0 24 833
0 532 1023
0 61 820
0 279 792
0 207 341
0 677 923
0 346 745
0 459 888
1 386 426
0 523 971
0 28 977
0 718 958
0 87 638
0 427 461
0 52 917
0 242 813
0 32 137
0 78 666
0 96 313
0 127 397
0 416 858
0 13 491
0 313 739
0 32 392
0 874 1004
1 262 733
0 244 432
0 242 904
0 458 709
0 210 709
0 170 1003
0 173 514
0 483 567
0 396 832
0 203 719
0 505 724
0 129 213
0 188 229
0 115 767
0 679 784
0 145 396
0 738 925
0 671 812
0 12 264
0 276 509
0 48 981
0 415 733
0 203 861
0 485 893
0 199 499
0 672 883
0 329 787
0 196 1006
0 196 678
0 422 692
0 781 1023
0 466 531
0 433 896
0 62 243
0 301 424
0 42 456
0 174 575
0 637 734
0 417 530
0 813 897
0 500 550
0 628 863
0 547 642
0 578 858
0 362 633
0 494 998
0 625 1004
0 453 776
0 561 700
0 422 721
0 124 658
0 69 253
0 365 726
0 291 557
0 321 332
0 838 904
0 67 408
0 275 426
0 134 967
0 447 818
0 183 747
0 335 405
0 359 511
0 175 272
0 547 823
0 469 961
0 63 412
0 59 814
0 7 815
0 734 746
0 365 749
0 61 814
0 261 532
0 178 451
0 270 882
0 327 402
0 409 831
0 356 984
0 138 414
0 579 986
0 908 960
0 37 702
0 596 902
0 834 990
0 406 812
0 191 584
0 315 897
0 575 790
0 110 984
0 564 864
0 697 824
0 631 916
0 360 641
1 19 564
0 101 493
0 459 496
0 209 901
0 142 423
0 311 703
0 777 821
0 283 1003
0 397 534
0 6 43
0 68 620
0 113 290
0 233 592
0 214 662
0 445 497
0 693 804
0 93 249
0 357 552
0 428 603
0 370 844
0 624 879
0 229 505
0 337 510
0 747 1015
0 376 650
0 711 752
0 119 310
0 58 188
0 355 563
0 486 838
0 460 494
1 292 710
0 224 852
0 584 859
0 276 336
0 409 707
0 427 684
0 83 92
0 574 1009
0 610 817
0 170 602
0 51 762
0 413 517
0 625 710
0 577 879
0 25 380
0 84 1018
0 31 248
0 126 269
0 18 288
0 155 337
0 914 1012
0 452 480
0 484 583
0 132 571
0 150 336
0 190 980
0 63 603
0 735 844
0 221 429
0 1008 1014
0 316 513
0 397 473
0 790 1008
0 47 210
0 205 307
0 12 312
0 248 427
0 227 271
0 403 611
0 118 874
0 555 657
0 45 767
0 745 792
0 139 703
0 380 723
0 674 797
0 783 792
0 715 924
0 379 618
0 450 1007
0 382 552
0 1008 1010
0 176 695
0 295 977
0 626 637
0 661 720
0 350 659
0 34 432
0 904 951
0 262 803
0 321 758
0 251 927
0 719 912
0 782 987
0 180 242
0 363 662
0 449 657
0 389 452
0 317 491
0 352 757
0 90 826
0 65 460
0 117 782
0 624 816
0 17 736
0 636 678
1 804 979
0 398 1013
0 290 730
0 402 663
0 498 736
0 8 395
0 727 849
0 99 297
0 759 993
0 41 459
0 345 808
0 449 524
0 275 1015
0 254 914
0 5 231
0 290 304
0 267 886
0 36 522
0 906 978
0 646 834
0 446 841
0 796 911
0 166 1020
0 16 791
0 633 812
0 656 756
0 94 892
0 158 334
0 40 474
0 6 763
0 795 985
0 412 789
0 220 629
0 833 837
0 828 899
0 218 839
0 439 644
0 647 789
0 425 720
0 666 704
0 76 384
0 291 829
0 135 244
0 215 403
0 224 392
0 477 633
0 142 691
0 30 800
0 829 876
0 439 962
0 790 828
0 463 714
0 563 694
0 63 107
1 701 1018
0 262 294
0 393 758
0 468 653
0 407 841
0 143 482
0 224 870
0 785 876
0 222 309
0 115 252
0 519 668
0 164 494
0 149 387
0 148 993
0 316 801
0 264 571
0 308 530
0 540 941
0 181 416
0 160 990
0 586 662
0 323 990
0 664 717
0 134 725
0 207 786
0 271 765
0 336 825
0 697 786
0 380 1019
0 676 688
0 107 658
0 168 197
0 112 426
0 213 526
0 365 957
1 484 650
0 289 554
0 123 890
0 284 760
0 45 726
0 90 538
0 854 990
0 489 887
0 76 885
0 117 345
0 110 288
0 430 683
0 177 719
0 184 437
0 779 827
0 569 732
0 158 573
0 77 487
0 291 485
0 48 159
0 118 242
0 443 859
0 636 670
0 49 980
0 254 951
0 101 1004
0 114 506
0 913 992
0 567 807
0 326 445
0 104 978
0 390 991
0 4 325
0 242 914
0 276 625
0 610 910
0 32 810
1 740 1016
0 804 828
0 165 1018
0 659 859
0 507 834
0 503 559
0 676 937
0 607 772
0 133 284
0 719 833
0 477 918
0 12 609
0 87 721
0 62 707
1 294 551
0 850 974
0 35 862
0 819 980
0 204 643
0 715 1007
0 466 950
0 149 935
0 27 96
0 819 949
0 268 420
0 321 990
0 15 561
0 167 920
0 633 822
0 308 652
0 154 481
1 243 644
0 243 698
0 403 508
0 594 908
0 2 720
0 221 272
0 128 412
0 391 476
0 804 849
0 575 834
0 649 813
0 559 628
0 465 650
0 191 490
1 430 912
0 635 662
1 247 375
0 686 903
0 312 452
0 318 953
0 91 989
0 704 955
0 12 645
0 511 821
0 831 1004
0 65 478
0 468 859
0 56 260
0 265 863
0 465 1021
0 671 863
0 136 817
1 351 559
0 404 855
0 189 483
0 332 540
0 347 666
0 356 428
0 495 1015
0 336 574
0 569 572
0 156 570
0 59 276
0 359 653
0 294 311
0 731 876
0 205 538
0 852 874
0 103 452
0 4 56
0 506 597
0 247 427
0 200 398
0 333 641
0 270 885
0 877 883
0 258 670
0 177 450
0 339 487
0 240 432
0 28 841
0 212 423
0 32 379
0 118 781
0 557 1010
0 152 440
0 442 795
0 245 804
0 854 1019
0 239 341
0 111 320
0 389 510
0 151 675
0 20 876
0 875 1011
0 469 1020
0 760 962
0 195 853
0 642 988
0 278 287
0 202 383
1 596 902
0 704 883
0 132 805
0 51 583
0 613 866
0 730 797
0 76 507
0 719 816
0 19 21
0 160 461
0 673 814
0 799 1004
0 380 847
0 398 790
0 501 963
0 644 839
0 158 273
0 680 963
0 22 378
0 602 995
0 536 879
0 217 503
0 341 488
0 765 842
0 40 935
0 187 736
0 199 457
0 622 875
0 252 363
0 659 927
0 433 798
0 200 766
0 89 562
0 123 294
0 243 856
0 175 387
0 58 772
0 10 661
0 119 241
0 151 533
0 380 929
0 478 732
0 168 188
0 575 885
0 50 110
0 260 487
0 411 838
0 0 446
0 761 967
1 398 1013
0 50 121
0 90 534
0 5 910
0 834 975
0 78 356
0 20 285
0 564 766
0 520 716
0 536 544
0 55 634
0 437 915
0 106 691
0 810 977
0 420 614
0 730 794
0 626 1023
0 606 926
0 447 459
1 76 837
0 125 308
0 128 526
0 657 998
0 348 790
0 920 948
0 167 422
0 391 817
0 90 507
0 475 717
0 592 676
1 466 665
1 247 766
0 650 764
0 918 940
0 35 391
0 94 131
0 241 927
0 164 726
0 842 876
0 463 995
0 238 456
0 129 498
0 239 746
1 90 507
0 234 460
0 4 641
0 611 700
1 149 935
0 480 956
0 163 415
0 124 572
0 101 218
0 408 945
0 95 936
0 6 389
0 163 294
0 207 218
0 855 868
0 128 882
0 641 735
0 581 830
0 354 983
0 0 266
0 146 195
0 243 471
0 562 924
0 179 974
0 978 983
0 215 402
0 247 959
0 460 660
0 221 504
0 45 632
0 139 706
0 411 929
0 496 521
0 162 631
0 58 762
0 215 436
0 90 747
0 883 956
0 227 915
0 241 743
0 474 992
0 319 400
0 72 358
0 280 548
0 525 678
0 57 665
0 196 258
0 449 793
0 735 786
0 365 409
0 606 679
0 177 621
0 42 704
0 427 919
0 227 767
0 726 827
0 426 721
0 585 971
0 279 939
0 51 128
0 279 387
0 132 711
0 168 947
0 705 947
0 319 967
0 88 830
0 500 1020
0 265 551
0 411 610
0 107 268
0 1002 1014
0 582 629
0 12 760
0 556 885
0 102 737
0 407 816
0 251 468
1 193 485
0 749 774
0 82 870
0 421 805
0 677 1003
0 213 214
0 109 244
0 509 967
0 683 958
0 167 459
1 265 468
1 881 949
0 549 633
0 11 389
0 560 610
0 443 1022
0 407 1001
0 47 712
0 770 802
0 491 945
0 730 897
0 38 97
0 603 604
1 345 353
0 445 628
0 182 753
0 19 90
0 355 624
0 703 896
0 480 651
0 468 901
0 203 819
0 17 136
0 330 863
0 401 867
0 735 1022
0 256 575
0 323 347
0 850 1002
0 677 690
0 474 666
0 245 832
0 363 478
0 179 779
0 262 746
0 132 188
0 738 826
0 482 557
0 94 287
0 875 965
0 173 827
0 315 962
0 722 1008
0 231 798
0 655 673
0 265 771
0 401 488
0 252 472
0 138 853
0 142 146
0 380 862
0 471 970
0 476 994
0 483 770
0 55 779
0 57 222
0 343 475
0 280 302
0 303 461
0 220 320
0 632 727
0 594 1021
0 201 324
1 715 1007
1 606 926
0 158 444
0 320 456
0 257 627
0 150 464
0 324 1014
0 243 270
0 623 1011
0 178 628
0 720 774
0 205 898
0 406 1012
0 434 568
0 55 810
0 436 886
1 534 539
0 305 597
0 52 420
0 381 408
0 767 971
0 570 820
0 441 848
0 408 975
0 301 454
0 463 540
0 279 736
0 383 832
0 815 1020
0 9 362
0 346 852
0 197 701
0 554 657
0 349 372
0 560 629
0 467 1012
0 95 886
0 232 292
0 305 670
0 125 836
0 91 494
0 712 817
0 342 442
0 87 837
0 106 329
0 560 987
0 354 988
0 212 947
0 747 838
0 152 665
1 458 505
0 276 775
1 515 974
0 588 615
0 671 676
0 830 931
0 424 702
0 711 983
0 648 732
0 484 872
0 389 513
0 656 658
0 496 809
0 299 877
0 286 596
0 388 509
1 89 417
0 510 796
0 81 805
0 29 835
0 158 988
0 55 70
0 444 581
0 514 758
0 353 635
0 329 903
0 405 681
1 202 717
0 157 534
0 458 1022
0 499 712
0 305 544
0 666 908
0 427 587
0 804 963
0 227 451
0 117 1012
0 616 991
0 565 1023
0 25 474
0 871 994
0 656 717
0 526 570
0 687 961
0 515 590
0 423 834
0 30 666
0 89 990
0 774 916
0 711 866
0 779 882
0 122 242
0 146 757
0 289 981
0 285 745
0 371 415
0 376 521
0 933 967
0 22 821
0 2 274
0 776 987
0 330 912
0 71 621
0 327 805
0 183 364
0 7 603
0 544 783
0 518 638
0 315 634
0 235 246
0 10 214
0 286 685
0 421 930
1 556 885
0 540 796
0 444 967
0 349 549
0 391 712
0 822 988
0 964 1016
0 123 686
0 238 816
1 543 1008
1 520 716
0 547 565
0 10 966
0 653 723
0 817 979
0 71 464
0 217 569
0 614 822
0 270 939
0 777 1015
0 951 963
0 86 333
0 50 529
0 314 700
0 279 391
0 594 769
0 683 728
1 600 708
0 9 250
0 148 685
0 505 992
0 193 668
0 347 530
0 136 528
0 354 487
0 154 380
0 61 222
0 297 578
0 615 974
0 289 907
0 478 643
0 330 584
0 183 604
0 253 295
0 556 617
0 319 1008
0 306 478
0 473 764
1 608 832
0 424 871
1 165 426
0 151 686
0 54 837
0 320 604
0 64 756
0 369 494
0 205 703
0 44 601
0 686 781
0 911 993
0 393 709
0 132 723
0 328 958
0 47 439
0 376 606
0 323 659
1 760 962
0 12 172
0 670 757
0 375 785
0 285 578
0 35 276
0 188 972
0 395 821
0 266 795
0 539 722
0 817 947
0 433 876
0 592 748
0 254 700
0 202 760
0 255 813
0 86 300
1 50 306
0 3 680
0 490 942
0 294 692
0 496 592
0 555 755
0 227 670
0 64 283
0 655 1019
0 105 130
0 436 935
0 95 285
0 350 581
0 447 799
0 784 1022
0 337 617
0 151 718
0 878 917
0 352 563
0 701 758
0 514 765
1 150 509
0 202 883
0 85 391
0 174 547
0 88 129
0 655 976
0 239 987
0 252 656
0 123 846
0 15 897
0 76 921
0 336 547
0 496 661
0 534 907
0 598 709
0 582 980
0 455 606
0 215 837
0 105 403
0 116 795
0 221 1016
0 88 489
0 764 886
0 360 970
0 598 742
0 642 750
0 555 650
0 686 943
0 509 596
0 343 726
0 513 684
0 185 431
0 513 599
0 57 963
0 83 703
0 855 974
0 268 285
0 912 1021
0 806 971
0 389 455
0 801 972
0 600 635
0 168 225
0 529 791
0 109 795
0 354 915
1 389 711
0 269 983
0 625 644
0 25 664
0 482 725
0 132 385
0 40 472
0 544 852
0 547 651
0 449 714
0 285 826
0 281 483
0 293 787
0 113 276
0 575 849
0 304 369
0 522 1008
0 574 879
0 303 382
0 100 979
0 576 705
0 724 885
0 342 530
0 479 969
0 697 880
0 561 564
0 650 675
0 174 285
0 351 930
0 85 623
0 630 790
0 199 290
0 3 227
0 736 1021
0 234 652
0 87 871
0 241 431
0 820 831
0 182 607
0 589 985
0 707 713
0 67 887
0 239 346
0 78 262
0 269 968
0 100 610
0 172 518
0 83 196
0 824 929
0 627 851
0 913 962
0 216 864
0 162 286
0 24 824
0 235 298
1 8 395
0 470 633
0 421 447
0 571 758
1 228 679
0 418 616
0 344 480
0 400 616
0 175 467
0 350 1022
0 107 117
0 244 344
0 8 846
0 572 675
1 316 801
0 720 908
0 110 829
0 322 668
0 1 448
0 284 508
0 99 468
0 21 695
0 428 735
0 482 772
0 123 935
0 859 894
0 108 136
0 338 1017
0 531 955
0 245 943
0 358 1005
0 566 938
0 257 1007
0 164 282
0 395 989
0 4 356
0 510 736
0 237 645
0 76 740
0 503 917
0 509 913
0 24 350
0 535 710
0 372 641
0 73 250
0 542 685
0 573 800
0 740 1000
0 689 952
1 355 593
0 364 583
0 219 783
0 95 127
0 637 1023
0 356 359
